id,height,face,torso,left_shin,left_shin2,right_shin,shoulder,left_arm,right_arm,var1,var2,var3,var4
2dfa7a,949.6897752,101.5922189,345.8730374,199.5387267,261.1315044,201.6861901,217.0591908,149.114257,184.9981656,2,58,95,12
2dfade,948.7031692,101.4971422,345.6045985,199.3671914,261.8059819,201.2033505,217.5376375,149.3115987,185.2274731,4,60,97,12
2dfb42,947.9192595,101.4267542,345.203701,199.5559428,262.3084985,200.7888666,217.8756161,149.5064134,185.5004352,5,57,96,12
2dfba6,947.4374521,101.3609188,344.8736195,199.8314133,261.9850793,200.3070951,218.1471025,149.7583753,185.6737744,5,59,95,12
2dfdfe,810.9346058,74.54063021,228.9317566,228.1269336,353.5302989,201.8236284,164.5800663,146.9054007,140.3692019,3,59,94,12
2dfe62,810.8796328,74.46644158,229.131506,227.7164767,353.8103043,201.8221469,164.5886647,146.7572844,140.2684607,1,55,94,12
2dfec6,810.7620849,74.39524794,229.2676661,227.5054132,354.1676429,201.8989117,164.6022769,146.6394063,140.1606166,2,57,97,12
2dff2a,810.6297613,74.34190973,229.4028559,227.5636396,354.5564097,202.0431714,164.616465,146.5518532,140.0924747,5,58,93,12
2dff8e,810.555383,74.30615366,229.6023417,228.0179716,354.8192986,202.1924343,164.6360387,146.4326773,139.8834581,2,58,96,12
2e01e6,708.4027377,50.67731337,172.4443671,215.1544555,284.051422,204.0350412,133.3976941,110.1537083,105.7827691,1,59,97,11
2e024a,711.8913284,50.8958793,171.7596847,216.1345823,284.3543338,208.9900084,133.8610844,110.180277,105.5027447,3,59,99,11
2e02ae,715.6878843,51.23042836,171.2812874,217.2700773,284.3498821,214.1652085,134.2692256,110.372863,105.5135927,4,56,95,11
2e0312,719.7458851,51.60305377,171.1592077,218.3945726,284.2392762,219.082958,134.5624549,110.3713054,105.8576447,2,57,98,11
2e0376,724.3701634,51.98937492,171.4592584,219.4259004,284.1506803,223.6001806,134.8733657,110.2398206,106.3467626,2,56,97,11
2e05ce,1032.035003,16.92986518,351.3708885,223.655056,259.4016255,246.9144047,216.869178,204.2208683,182.5690634,3,58,98,99
2e0632,1031.314684,16.92986518,351.1949781,223.5770742,259.8501684,247.171531,216.3890447,204.8520054,182.1613347,4,58,99,99
2e0696,1030.713624,16.92986518,350.952057,223.5061231,260.0698635,247.4259594,215.9120861,205.4918476,181.8092964,2,60,99,99
2e06fa,1030.222537,16.92986518,350.7815127,223.4963016,259.9042682,247.675331,215.4337363,205.984505,181.5553352,5,60,96,99
2e075e,1029.514259,16.92986518,350.5413176,223.4744914,259.774524,247.9305826,214.8401424,206.3496774,181.3076745,1,58,97,99
2e09b6,559.5251096,46.57375141,169.2114533,146.4616158,196.525194,147.8395919,101.0169108,86.38948621,87.98853298,5,56,94,12
2e0a1a,560.0485098,46.62358199,169.1968559,146.8511823,196.1649067,147.9142567,101.2075719,86.45579731,87.99514401,3,59,98,12
2e0a7e,560.7399381,46.69946857,169.1818778,147.3808467,195.7650316,148.1127563,101.4658416,86.57963019,87.95380106,3,57,96,12
2e0ae2,561.2998642,46.80742192,169.1619892,147.9207647,195.5200148,148.2999068,101.728361,86.7217368,87.95611075,3,58,95,12
2e0b46,561.6777628,46.94056887,169.1409791,148.5234822,195.3612318,148.4836196,101.9270595,86.8225491,87.89273551,5,59,96,12
2e0d9e,674.0496852,33.76211072,223.9646,166.0534423,210.0880452,171.2535274,132.2019423,115.0778571,112.6603541,4,56,99,12
2e0e02,675.6779965,36.11855338,225.5201698,168.2363494,210.0880452,173.2775442,131.753872,115.3414239,113.0777774,5,56,99,12
2e0e66,677.1540895,39.13322069,226.9351275,169.9666829,210.0880452,174.8016144,131.2972295,115.3376579,113.4510465,2,60,99,12
2e0eca,678.6814633,42.21073104,228.0798003,171.3718535,210.0880452,176.0304529,130.9113151,114.9884977,113.8782796,5,57,98,12
2e0f2e,680.3140218,45.68855413,229.0318784,172.7523108,210.0880452,176.8726191,130.600572,114.5600157,114.120181,5,55,95,12
2e1186,731.7411394,65.83741334,271.7425063,171.9727247,221.4996152,169.0383437,133.1884544,135.0057205,153.2424904,5,56,98,12
2e11ea,731.5533837,65.17426991,272.2012535,172.0343922,218.3353947,169.8879138,131.8145667,133.1773797,155.6143593,1,59,95,11
2e124e,731.5682487,64.45567981,272.4565008,172.1678662,215.0984218,170.6651499,130.7068892,131.3532157,157.5325895,2,55,94,12
2e12b2,731.639731,63.75894288,272.5080147,172.2353532,210.6842776,171.3112459,129.7804137,129.4036556,159.2518806,2,57,94,12
2e1316,731.7212093,63.05586424,272.4286562,172.2337645,207.2885347,172.0158606,128.902955,127.3960544,160.6243929,5,57,98,12
2e156e,854.1323809,81.78380995,331.3510789,193.5239723,233.8140412,184.7167453,182.6072553,153.4590477,132.6797741,5,58,98,11
2e15d2,854.6619504,81.70473209,331.0068479,193.6603769,233.4535324,185.1391169,182.1201937,153.0805116,132.8501593,4,57,97,11
2e1636,855.5138596,81.66756124,330.8008992,194.072643,233.271707,185.570741,181.5714066,153.0890444,133.1447228,1,57,94,11
2e169a,856.6360594,81.67396172,330.7982066,194.758172,233.161427,186.0098652,181.0235093,153.3922583,133.5159697,5,57,97,11
2e16fe,857.8564072,81.71562004,330.6586564,195.4430549,233.2331814,186.5231742,180.4757422,153.6008477,133.9388625,2,55,98,11
2e1956,724.3102992,23.86593719,211.6296658,177.9043454,214.8447921,152.2307756,168.6360916,136.5457619,135.3798566,4,56,98,12
2e19ba,724.9911302,22.07788105,215.4924117,174.8533139,213.274623,151.9586207,169.6301045,137.0221207,135.1089153,1,58,95,12
2e1a1e,726.0774911,20.42951967,219.4123285,171.9852961,211.7507871,152.0953975,170.3329436,137.2492644,134.5881724,3,60,97,12
2e1a82,727.1500944,20.30868071,223.2798865,169.2956659,211.1219059,152.5096676,170.6918515,137.2863934,133.9424325,5,59,95,12
2e1ae6,729.6109776,21.27616954,227.3009787,168.2427898,210.9460206,153.3371622,170.9296818,137.6554745,133.4309658,5,56,94,12
2e1d3e,842.0406088,75.68061096,290.5068077,203.7910882,253.4127878,206.4798781,166.0490654,152.858618,141.5332889,4,60,98,10
2e1da2,843.1365484,78.84655738,290.8605275,203.7834591,253.099952,207.2328018,166.4782262,152.7485049,142.6164855,4,58,97,10
2e1e06,843.3940365,82.11127305,290.8393752,203.7072678,252.8010896,207.8679289,166.9120357,152.5807877,143.5898955,5,56,93,10
2e1e6a,843.2285943,85.35166765,290.6100012,203.5610477,252.8076995,208.0486503,167.4618167,152.1990207,144.2808986,2,57,99,10
2e1ece,842.9089537,88.49777029,290.2951525,203.2790765,252.8142811,207.7010758,168.1513059,151.6925824,144.6918212,5,58,93,10
